name,price,change,change%,high,low
保德信全球基礎建設基金,4.10,15.06,0.02,0.08,54.94
復華全球大趨勢基金(美元),7.45,17.02,0.04,0.00,65.67
第一金全球FinTech金融科技基金(台幣),4.44,26.01,0.00,0.00,17.51
統一全球新科技基金(人民幣),5.21,52.38,0.00,8.29,30.98
瀚亞全球綠色金脈基金,7.87,58.46,33.89,62.27,7.53
復華全球大趨勢基金(台幣),4.47,15.21,57.15,40.88,42.17
元大新中國基金(美元),7.37,24.71,3.70,4.33,29.62
元大新中國基金(人民幣),3.57,4.86,16.68,22.26,4.10
元大新中國基金(台幣),32.75,37.99,21.38,23.23,27.42
保德信全球資源基金,35.88,12.80,8.80,7.80,35.44
富蘭克林華美新世界股票基金(美元),5.95,5.02,39.60,0.28,1.16
富蘭克林華美新世界股票基金(人民幣),31.36,38.35,24.38,0.21,0.83
安聯全球農金趨勢基金,35.88,37.38,25.60,0.35,0.80
德銀遠東DWS全球生技創新基金(台幣),8.24,6.77,44.12,0.10,0.65
德銀遠東DWS全球生技創新基金(美元),37.32,9.97,15.58,0.04,0.09
野村全球生技醫療基金,60.53,4.78,45.53,0.03,0.05
景順全球康健基金,26.97,9.24,62.99,0.01,0.04
瀚亞全球策略收益股票基金B配息(台幣)(本基金配息來源可能為本金),45.61,6.56,22.53,0.00,0.00
國泰全球資源基金(台幣),22.86,6.26,11.09,24.83,4.45
瀚亞全球策略收益股票基金A不配息(人民幣)(本基金配息來源可能為本金),47.63,8.39,21.41,35.20,38.92
瀚亞全球策略收益股票基金B配息(人民幣)(本基金配息來源可能為本金),64.94,6.38,3.52,3.50,38.14
宏利全球動力股票基金(人民幣避險),29.78,3.13,14.82,34.25,8.10
群益全球特別股收益基金NB月配型(台幣)(本基金之配息來源可能為本金),16.79,20.45,24.69,10.53,12.33
群益全球特別股收益基金NB月配型(美元)(本基金之配息來源可能為本金),19.61,14.06,8.46,4.96,45.17
群益中國新機會基金N類型(人民幣),8.73,7.31,20.51,47.88,6.53
群益中國新機會基金N類型(台幣),38.85,51.34,45.18,24.19,0.39
群益中國新機會基金N類型(美元),49.39,19.35,7.06,16.54,0.14
群益工業國入息基金NA累積型(人民幣)(本基金配息來源可能為本金),3.43,9.83,7.48,23.72,0.20
群益工業國入息基金NA累積型(台幣)(本基金配息來源可能為本金),48.22,19.21,4.00,24.61,0.18
群益工業國入息基金NA累積型(美元)(本基金配息來源可能為本金),18.44,47.55,5.42,27.66,0.19
群益工業國入息基金NB月配型(人民幣)(本基金配息來源可能為本金),1.64,17.23,7.96,13.54,0.09
群益工業國入息基金NB月配型(台幣)(本基金配息來源可能為本金),0.85,25.20,7.73,31.74,0.21
群益工業國入息基金NB月配型(美元)(本基金配息來源可能為本金),0.85,27.21,4.84,27.16,0.17
群益全球特別股收益基金NA累積型(人民幣)(本基金之配息來源可能為本金),0.74,29.71,9.70,42.77,0.26
群益全球特別股收益基金NA累積型(台幣)(本基金之配息來源可能為本金),0.69,62.04,8.35,32.55,0.19
群益全球特別股收益基金NA累積型(美元)(本基金之配息來源可能為本金),0.67,31.74,6.75,30.21,0.16
富邦大中華成長基金(美元),0.67,28.43,2.88,19.30,0.10
元大全球股票入息基金-B配息(美元)(本基金之配息來源可能為本金),0.63,45.05,6.32,101.22,0.52
凱基護城河基金(美元),0.61,33.69,7.78,23.36,0.11
野村環球基金(台幣),0.59,41.20,9.41,68.39,0.30
統一全球新科技基金(美元),0.53,33.76,7.54,25.42,0.11
復華全球物聯網科技基金(美元),0.52,106.63,7.77,19.88,0.08
富蘭克林華美新世界股票基金(台幣),0.52,46.69,7.43,12.61,0.05
保德信全球中小基金,0.47,72.06,4.38,19.30,0.07
統一全球新科技基金(台幣),0.44,26.85,3.76,11.18,0.04
